listing_id,Count,new_date
151249,28,2019-02-01
151249,31,2019-03-01
151249,30,2019-04-01
151249,31,2019-05-01
151249,30,2019-06-01
151249,31,2019-07-01
151249,31,2019-08-01
151249,30,2019-09-01
151249,31,2019-10-01
151249,6,2019-11-01
153015,8,2018-11-01
153015,24,2018-12-01
153015,30,2019-01-01
153015,28,2019-02-01
153015,31,2019-03-01
153015,30,2019-04-01
153015,31,2019-05-01
153015,30,2019-06-01
153015,31,2019-07-01
153015,31,2019-08-01
153015,30,2019-09-01
153015,31,2019-10-01
153015,6,2019-11-01
155048,8,2018-11-01
155048,31,2018-12-01
155048,31,2019-01-01
155048,28,2019-02-01
155048,31,2019-03-01
155048,30,2019-04-01
155048,31,2019-05-01
155048,30,2019-06-01
155048,31,2019-07-01
155048,31,2019-08-01
156010,1,2018-12-01
157546,10,2018-11-01
157546,4,2018-12-01
157546,21,2019-01-01
157546,28,2019-02-01
157546,28,2019-03-01
157546,10,2019-04-01
157546,31,2019-05-01
157546,30,2019-06-01
157546,31,2019-07-01
157546,31,2019-08-01
157546,30,2019-09-01
157546,31,2019-10-01
157546,6,2019-11-01
157839,7,2018-11-01
157839,15,2018-12-01
157839,24,2019-01-01
157839,27,2019-02-01
157839,31,2019-03-01
157839,30,2019-04-01
157839,31,2019-05-01
157839,30,2019-06-01
157839,31,2019-07-01
157839,31,2019-08-01
157839,30,2019-09-01
157839,31,2019-10-01
157839,6,2019-11-01
158890,7,2018-11-01
158890,8,2018-12-01
158890,31,2019-01-01
158890,28,2019-02-01
158890,31,2019-03-01
158890,30,2019-04-01
158890,31,2019-05-01
158890,30,2019-06-01
158890,31,2019-07-01
158890,31,2019-08-01
158890,30,2019-09-01
158890,31,2019-10-01
158890,6,2019-11-01
159454,15,2018-11-01
159454,5,2018-12-01
159454,10,2019-01-01
159454,7,2019-04-01
159454,31,2019-05-01
159454,25,2019-06-01
159454,31,2019-07-01
159454,31,2019-08-01
159454,30,2019-09-01
159454,31,2019-10-01
159454,6,2019-11-01
160517,11,2018-11-01
160517,14,2018-12-01
160517,23,2019-01-01
160517,23,2019-02-01
160517,31,2019-03-01
160517,23,2019-04-01
160517,31,2019-05-01
160517,24,2019-06-01
160517,31,2019-07-01
160517,3,2019-08-01
161425,1,2018-12-01
161425,1,2019-02-01
161425,5,2019-03-01
161425,30,2019-04-01
161425,5,2019-05-01
163287,22,2018-11-01
163287,31,2018-12-01
163287,30,2019-01-01
163287,28,2019-02-01
163287,31,2019-03-01
163287,28,2019-04-01
163287,31,2019-05-01
163287,29,2019-06-01
163287,31,2019-07-01
163287,31,2019-08-01
163287,30,2019-09-01
163287,31,2019-10-01
163287,6,2019-11-01
163411,2,2018-12-01
163411,31,2019-03-01
163411,30,2019-04-01
163411,31,2019-05-01
163411,30,2019-06-01
163411,31,2019-07-01
163411,31,2019-08-01
163411,30,2019-09-01
163411,31,2019-10-01
163411,6,2019-11-01
167189,5,2019-11-01
168615,17,2018-11-01
168615,18,2018-12-01
168615,30,2019-01-01
168615,28,2019-02-01
168615,31,2019-03-01
168615,30,2019-04-01
168615,5,2019-05-01
169603,3,2018-11-01
169603,13,2019-01-01
170582,8,2018-12-01
170582,23,2019-01-01
170582,22,2019-02-01
170582,8,2019-06-01
170582,31,2019-07-01
170582,31,2019-08-01
170582,30,2019-09-01
170582,31,2019-10-01
170582,6,2019-11-01
170652,21,2018-11-01
170652,31,2018-12-01
170652,31,2019-01-01
170652,28,2019-02-01
170652,31,2019-03-01
170652,30,2019-04-01
170652,31,2019-05-01
170652,30,2019-06-01
170652,31,2019-07-01
170652,31,2019-08-01
170652,30,2019-09-01
170652,31,2019-10-01
170652,6,2019-11-01
170974,23,2018-11-01
170974,31,2018-12-01
170974,31,2019-01-01
170974,4,2019-02-01
171746,3,2018-11-01
171746,12,2018-12-01
171746,30,2019-01-01
171746,24,2019-02-01
171746,31,2019-03-01
171746,30,2019-04-01
171746,31,2019-05-01
171746,30,2019-06-01
171746,31,2019-07-01
171746,31,2019-08-01
171746,30,2019-09-01
171746,31,2019-10-01
171746,6,2019-11-01
174560,1,2019-01-01
174560,28,2019-02-01
174560,31,2019-03-01
174560,30,2019-04-01
174560,31,2019-05-01
174560,30,2019-06-01
174560,31,2019-07-01
174560,31,2019-08-01
174560,30,2019-09-01
174560,31,2019-10-01
174560,6,2019-11-01
174576,23,2018-11-01
174576,31,2018-12-01
174576,31,2019-01-01
174576,28,2019-02-01
174576,31,2019-03-01
174576,30,2019-04-01
174576,31,2019-05-01
174576,30,2019-06-01
174576,31,2019-07-01
174576,31,2019-08-01
174576,30,2019-09-01
174576,31,2019-10-01
174576,6,2019-11-01
