id,harvesine_distance,host_response_rate,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people
229099,5962.135512863685,,0.0,30.00,200.00,650.00,,,10.00
229348,5970.767675256266,,,65.00,420.00,1400.00,150.00,29.00,10.00
229363,5971.036314284364,,377.0,65.00,420.00,1400.00,150.00,29.00,10.00
229776,5972.923272442202,1.0,97.0,46.00,210.00,,0.00,10.00,8.00
230611,5958.190812623771,,1722.0,65.00,,,2400.00,200.00,10.00
230824,5971.878676852118,0.8,,28.00,220.00,750.00,89.00,20.00,22.00
231220,5968.815675484323,1.0,344.0,30.00,195.00,490.00,150.00,30.00,0.00
231598,5967.960791135577,,,49.00,,,0.00,70.00,5.00
231853,5970.545129997583,1.0,,55.00,350.00,900.00,500.00,30.00,0.00
233083,5968.187626532849,1.0,,98.00,650.00,1500.00,1000.00,75.00,15.00
233453,5968.823469912286,,,32.00,,600.00,,20.00,13.00
233770,5971.287945966827,,,55.00,290.00,990.00,,25.00,12.00
235766,5973.410835207742,0.0,,39.00,500.00,1680.00,,20.00,0.00
236509,5971.82460857725,1.0,829.0,82.00,500.00,1300.00,,30.00,6.00
236552,5970.076371244508,1.0,,46.00,,,0.00,35.00,28.00
237038,5970.59665878758,1.0,,60.00,,,0.00,0.00,40.00
237359,5976.801025676271,,,60.00,,,,30.00,15.00
237670,5964.7309515615725,1.0,388.0,43.00,274.00,863.00,,15.00,5.00
238275,5972.475256785998,1.0,646.0,85.00,560.00,1400.00,,30.00,10.00
238396,5973.500655105402,1.0,,60.00,,,,25.00,0.00
238569,5975.240103529094,0.5,,58.00,,1000.00,,35.00,8.00
239139,5973.602427361682,1.0,,55.00,,,299.00,35.00,20.00
239314,5971.7741692633435,0.8,,30.00,200.00,750.00,0.00,20.00,20.00
240169,5968.302635777412,,215.0,31.00,,,150.00,25.00,12.00
240735,5972.830018969874,1.0,0.0,35.00,200.00,490.00,100.00,35.00,20.00
242366,5971.5044234381785,1.0,,45.00,274.00,966.00,200.00,49.00,18.00
242794,5972.450030488575,1.0,775.0,100.00,590.00,1550.00,400.00,60.00,0.00
242908,5956.225817505276,,50.0,95.00,,,,38.00,0.00
242927,5956.255592202727,,538.0,95.00,399.00,,,38.00,0.00
242978,5971.414164749487,,,63.00,,,150.00,20.00,5.00
243057,5971.793588194165,1.0,775.0,175.00,880.00,1800.00,750.00,80.00,45.00
243063,5972.635871442247,0.96,840.0,130.00,600.00,2200.00,100.00,55.00,11.00
243081,5972.724452538375,0.96,,120.00,700.00,2700.00,100.00,60.00,16.00
243238,5965.940671298185,1.0,,64.00,,,100.00,0.00,15.00
244425,5968.762535191865,0.86,,55.00,,,800.00,50.00,10.00
244924,5967.411928263645,0.64,,29.00,180.00,,100.00,15.00,15.00
245744,5971.940296824845,1.0,,150.00,965.00,2600.00,120.00,45.00,0.00
245809,5975.245468326372,,,76.00,,,100.00,40.00,20.00
245827,5971.022020008345,,517.0,79.00,,,100.00,40.00,20.00
245991,5975.493813042225,1.0,484.0,23.00,,710.00,650.00,,0.00
246007,5975.251837754614,1.0,,19.00,,580.00,550.00,,0.00
248192,5968.526380295469,1.0,,49.00,,,0.00,59.00,9.00
248375,5968.947855753736,,,45.00,200.00,600.00,200.00,20.00,10.00
249220,5966.143834201101,,,45.00,,,,,0.00
249419,5974.845355528958,,753.0,91.00,603.00,,0.00,0.00,0.00
250007,5968.297554303778,1.0,549.0,69.00,315.00,1100.00,,30.00,10.00
250023,5968.299988908877,,,70.00,,,,31.00,12.00
250067,5969.055517471345,,,55.00,350.00,900.00,350.00,50.00,5.00
250121,5973.281311432097,1.0,,45.00,290.00,1250.00,,,0.00
250138,5973.217683500717,1.0,,50.00,320.00,1400.00,,,0.00
250171,5973.159040170766,1.0,,55.00,378.00,1230.00,,,0.00
250253,5969.964245308999,,,93.00,565.00,,100.00,50.00,11.00
250376,5972.093445251853,,,175.00,270.00,999.00,300.00,40.00,45.00
250684,5973.125902164119,1.0,,95.00,540.00,2350.00,,,0.00
250687,5967.408929170134,1.0,,52.00,,,0.00,25.00,18.00
250704,5961.098047782049,,,59.00,353.00,1350.00,0.00,39.00,18.00
250707,5969.977142083405,,,58.00,385.00,,100.00,35.00,10.00
250729,5965.466964186419,,,72.00,439.00,,100.00,50.00,11.00
250753,5969.122633908669,,,95.00,565.00,,100.00,50.00,10.00
251398,5967.161646024516,1.0,,40.00,240.00,600.00,,,10.00
251548,5970.134121957372,1.0,269.0,55.00,,,400.00,39.00,30.00
252664,5973.800026897416,0.8,,79.00,,,400.00,30.00,10.00
252699,5972.319534778607,,,56.00,,1480.00,1600.00,60.00,20.00
